captured_at_utc,exchange_time,exchange_time_ms,asset,coin,best_bid_px,best_bid_sz,best_bid_orders,best_ask_px,best_ask_sz,best_ask_orders,mid_px,spread_px,spread_bps,bid_depth_5_sz,bid_depth_5_notional,ask_depth_5_sz,ask_depth_5_notional,bid_depth_20_sz,bid_depth_20_notional,ask_depth_20_sz,ask_depth_20_notional
2026-04-29T00:04:31.285300Z,2026-04-29T00:04:31.087000Z,1777421071087,SILVER,xyz:SILVER,73.584,34.72,2,73.585,33.97,1,73.58449999999999,0.000999999999990564,0.13589818507845594,366.45000000000005,26963.891989999996,238.03,17516.974700000002,14531.31,1069038.48092,9659.170000000002,710942.80055
2026-04-29T00:04:32.103083Z,2026-04-29T00:04:32.175000Z,1777421072175,SILVER,xyz:SILVER,73.584,33.37,2,73.588,0.27,1,73.586,0.003999999999990678,0.5435816595535398,631.73,46483.858739999996,75.12,5528.175359999999,18396.190000000002,1353339.09487,7091.97,521975.85902
2026-04-29T00:04:33.084438Z,2026-04-29T00:04:32.676000Z,1777421072676,SILVER,xyz:SILVER,73.591,850.0,2,73.605,2.72,1,73.598,0.014000000000010004,1.9022256039579886,4252.61,312945.31207,1708.43,125757.92470999999,17022.09,1252461.32901,4772.44,351334.42192000005
2026-04-29T00:04:34.000976Z,2026-04-29T00:04:34.288000Z,1777421074288,SILVER,xyz:SILVER,73.585,100.0,1,73.592,600.0,1,73.5885,0.007000000000005002,0.9512355870829006,452.38,33287.5312,3000.0,220782.0,8102.11,596036.77327,18032.489999999998,1327251.7399200003
2026-04-29T00:04:35.052150Z,2026-04-29T00:04:34.827000Z,1777421074827,SILVER,xyz:SILVER,73.591,850.0,2,73.594,121.79,1,73.5925,0.0030000000000001137,0.40765023609744383,4250.28,312773.85464,178.70000000000002,13151.79132,12265.77,902520.07901,11469.72,844353.5169700001
2026-04-29T00:04:36.000896Z,2026-04-29T00:04:35.375000Z,1777421075375,SILVER,xyz:SILVER,73.593,10.17,1,73.596,33.96,1,73.59450000000001,0.0030000000000001137,0.40763915781751536,1071.57,78857.63879999999,188.28,13857.45858,11742.380000000003,863951.28901,14727.850000000002,1084195.8257
2026-04-29T00:04:37.001178Z,2026-04-29T00:04:36.455000Z,1777421076455,SILVER,xyz:SILVER,73.587,27.14,1,73.591,32.3,1,73.589,0.003999999999990678,0.5435594993804342,290.63,21385.07237,559.3299999999999,41162.944639999994,16436.52,1209208.42946,5688.55,418717.22595
2026-04-29T00:04:38.001124Z,2026-04-29T00:04:37.522000Z,1777421077522,SILVER,xyz:SILVER,73.582,161.73,1,73.591,29.6,1,73.5865,0.009000000000000341,1.2230504236511237,1055.57,77666.31725,556.91,40984.85483999999,16401.110000000004,1206601.0838400002,5722.95,421249.09588000004
2026-04-29T00:04:39.000341Z,2026-04-29T00:04:38.605000Z,1777421078605,SILVER,xyz:SILVER,73.585,34.53,4,73.586,32.62,1,73.5855,0.0010000000000047748,0.13589633827381412,1097.8200000000002,80777.1778,103.24,7597.331,14030.4,1032195.4182199999,1728.0100000000007,127180.5322
2026-04-29T00:04:40.656953Z,2026-04-29T00:04:40.779000Z,1777421080779,SILVER,xyz:SILVER,73.585,2.7,2,73.586,191.2,6,73.5855,0.0010000000000047748,0.13589633827381412,5.819999999999999,428.2552400000001,3056.84,224947.84409000003,6187.5599999999995,455088.74825,12524.68,921772.12125
2026-04-29T00:04:41.604534Z,2026-04-29T00:04:41.323000Z,1777421081323,SILVER,xyz:SILVER,73.569,11.67,1,73.572,27.18,1,73.57050000000001,0.0030000000000001137,0.407772136929899,168.43,12389.65755,1232.63,90690.67506,7737.719999999999,569086.14652,10301.35,758049.41912
2026-04-29T00:04:42.424585Z,2026-04-29T00:04:42.414000Z,1777421082414,SILVER,xyz:SILVER,73.561,10.53,1,73.572,26.1,1,73.5665,0.01099999999999568,1.4952457980188916,338.75,24917.86053,1011.8399999999999,74445.01839999999,8347.789999999999,613957.55094,11059.31,813825.4568299999
2026-04-29T00:04:43.242788Z,2026-04-29T00:04:42.950000Z,1777421082950,SILVER,xyz:SILVER,73.565,23.92,2,73.566,13.59,1,73.5655,0.0010000000000047748,0.13593328394488924,375.83000000000004,27646.89916,276.15,20316.96651,8386.24,616788.3664299999,1767.31,130037.74104
2026-04-29T00:04:44.000808Z,2026-04-29T00:04:44.007000Z,1777421084007,SILVER,xyz:SILVER,73.565,26.95,1,73.569,0.14,1,73.56700000000001,0.0040000000000048885,0.5437220492890682,418.28999999999996,30769.41027,647.01,47602.64663,8942.92,657724.25392,7942.44,584452.37637
2026-04-29T00:04:45.373615Z,2026-04-29T00:04:45.035000Z,1777421085035,SILVER,xyz:SILVER,73.562,46.88,2,73.565,3.55,2,73.5635,0.0030000000000001137,0.4078109388487651,2536.92,186609.45884,78.3,5760.329769999999,13705.259999999998,1008011.2681899999,3819.3299999999995,281024.78642
2026-04-29T00:04:46.191824Z,2026-04-29T00:04:46.073000Z,1777421086073,SILVER,xyz:SILVER,73.565,13.69,3,73.566,535.08,2,73.5655,0.0010000000000047748,0.13593328394488924,576.81,42431.538290000004,596.5200000000001,43883.7064,8627.530000000002,634559.07592,4104.499999999999,302000.08341
2026-04-29T00:04:47.176032Z,2026-04-29T00:04:46.615000Z,1777421086615,SILVER,xyz:SILVER,73.565,11.27,1,73.566,535.08,2,73.5655,0.0010000000000047748,0.13593328394488924,574.53,42263.80981,596.7900000000001,43903.56949,7524.310000000001,553423.2758399999,4152.11,305502.28293
2026-04-29T00:04:48.000415Z,2026-04-29T00:04:47.695000Z,1777421087695,SILVER,xyz:SILVER,73.565,22.71,3,73.566,535.37,2,73.5655,0.0010000000000047748,0.13593328394488924,586.11,43115.69237,597.22,43935.203149999994,11182.23,822435.00877,6420.16,472398.2991399999
2026-04-29T00:04:49.000464Z,2026-04-29T00:04:49.309000Z,1777421089309,SILVER,xyz:SILVER,73.558,30.32,2,73.563,850.0,2,73.5605,0.0049999999999954525,0.6797126175047005,609.65,44841.75886,3373.33,248157.32890000002,10906.079999999998,801993.2755600001,14513.909999999998,1067861.10541
2026-04-29T00:04:50.451648Z,2026-04-29T00:04:50.406000Z,1777421090406,SILVER,xyz:SILVER,73.557,0.14,1,73.559,32.63,1,73.55799999999999,0.001999999999995339,0.27189428750038597,1133.52,83372.65447000001,569.34,41881.71343,16276.840000000002,1196982.3417699998,8003.83,588893.01076
2026-04-29T00:04:51.272502Z,2026-04-29T00:04:50.992000Z,1777421090992,SILVER,xyz:SILVER,73.558,30.86,3,73.559,8.15,1,73.55850000000001,0.000999999999990564,0.13594621967421355,1064.07,78266.89166,744.86,54793.08883,16317.699999999997,1199989.7012899998,8076.2300000000005,594218.31022
2026-04-29T00:04:52.091638Z,2026-04-29T00:04:51.509000Z,1777421091509,SILVER,xyz:SILVER,73.558,30.86,3,73.559,493.56,1,73.55850000000001,0.000999999999990564,0.13594621967421355,1064.07,78266.89166,1244.1399999999999,91519.68140999999,16296.149999999998,1198405.6897899997,8660.29,637182.6612999999
2026-04-29T00:04:53.001083Z,2026-04-29T00:04:52.583000Z,1777421092583,SILVER,xyz:SILVER,73.558,17.8,1,73.559,522.81,1,73.55850000000001,0.000999999999990564,0.13594621967421355,371.39,27316.77508,1273.25,93660.9839,14565.830000000002,1071169.1083499999,8621.45,634324.61049
